plant_id,variety_name,variety_code,zone_id,zone_name,planting_date,age_days,stage,health_status,current_height_cm,expected_height_cm,height_deviation_pct,current_girth_mm,is_grafted,graft_success,price_range_low,price_range_high
WN-2024-0013,Local Variety,LV,ZONE-C,Open Field C,2024-11-10,151,growing,healthy,40.9,37.8,8.2,2.3,True,True,1200,2000
WN-2024-0014,Kashmiri Walnut,KW,ZONE-B,Greenhouse B,2024-11-07,154,growing,healthy,39.7,46.2,-14.1,4.0,True,False,2500,3500
WN-2024-0015,Pusa Kanchan,PK,ZONE-E,Nursery Beds E,2024-09-29,193,mature,healthy,58.8,61.8,-4.7,5.6,False,,2200,3200
WN-2024-0016,Kashmiri Walnut,KW,ZONE-E,Nursery Beds E,2024-10-16,176,growing,healthy,44.6,52.8,-15.4,3.7,True,True,2500,3500
WN-2024-0017,Kashmiri Walnut,KW,ZONE-E,Nursery Beds E,2025-01-13,87,young,healthy,31.5,26.1,20.8,2.5,False,,2500,3500
WN-2024-0018,Chandler,CH,ZONE-A,Greenhouse A,2025-01-23,77,young,healthy,34.8,26.9,29.1,2.2,False,,2000,3000
WN-2024-0019,Kashmiri Walnut,KW,ZONE-E,Nursery Beds E,2024-07-24,260,mature,healthy,76.5,78.0,-1.9,6.6,True,True,2500,3500
WN-2024-0020,Chandler,CH,ZONE-D,Open Field D,2024-09-10,212,mature,healthy,47.7,74.2,-35.7,4.9,False,,2000,3000
WN-2024-0021,Kashmiri Walnut,KW,ZONE-B,Greenhouse B,2024-10-28,164,growing,critical,45.3,49.2,-8.0,3.3,False,,2500,3500
WN-2024-0022,Franquette,FR,ZONE-B,Greenhouse B,2024-08-18,235,mature,healthy,56.5,65.8,-14.1,5.7,True,True,1800,2800
WN-2024-0023,Kashmiri Walnut,KW,ZONE-E,Nursery Beds E,2025-03-22,19,seedling,healthy,6.3,5.7,9.8,0.5,False,,2500,3500
WN-2024-0024,Kashmiri Walnut,KW,ZONE-E,Nursery Beds E,2024-12-06,125,growing,healthy,45.2,37.5,20.5,3.1,True,True,2500,3500
WN-2024-0025,Kashmiri Walnut,KW,ZONE-A,Greenhouse A,2024-09-07,215,mature,healthy,70.0,64.5,8.5,5.2,True,True,2500,3500
WN-2024-0026,Chandler,CH,ZONE-B,Greenhouse B,2024-11-16,145,growing,healthy,51.6,50.8,1.6,3.9,True,True,2000,3000
WN-2024-0027,Local Variety,LV,ZONE-F,Hardening Zone F,2025-01-10,90,growing,critical,25.4,22.5,13.0,2.3,False,,1200,2000
WN-2024-0028,Pusa Kanchan,PK,ZONE-B,Greenhouse B,2025-01-30,70,young,healthy,27.6,22.4,23.4,1.6,False,,2200,3200
WN-2024-0029,Kashmiri Walnut,KW,ZONE-A,Greenhouse A,2024-05-21,324,ready_to_sell,healthy,88.3,97.2,-9.2,7.4,False,,2500,3500
WN-2024-0030,Kashmiri Walnut,KW,ZONE-C,Open Field C,2025-03-03,38,young,healthy,11.1,11.4,-2.4,0.9,False,,2500,3500
WN-2024-0031,Local Variety,LV,ZONE-D,Open Field D,2025-03-29,12,seedling,healthy,3.8,3.0,27.9,0.3,False,,1200,2000
WN-2024-0032,Kashmiri Walnut,KW,ZONE-A,Greenhouse A,2024-12-30,101,growing,healthy,32.1,30.3,5.9,2.3,False,,2500,3500
WN-2024-0033,Kashmiri Walnut,KW,ZONE-C,Open Field C,2025-01-12,88,young,healthy,25.3,26.4,-4.2,2.1,False,,2500,3500
WN-2024-0034,Kashmiri Walnut,KW,ZONE-E,Nursery Beds E,2024-07-21,263,mature,at_risk,87.4,78.9,10.8,6.3,False,,2500,3500
WN-2024-0035,Local Variety,LV,ZONE-F,Hardening Zone F,2025-02-27,42,young,healthy,7.9,10.5,-24.4,1.0,False,,1200,2000
WN-2024-0036,Pusa Kanchan,PK,ZONE-A,Greenhouse A,2024-09-21,201,mature,healthy,61.3,64.3,-4.7,5.5,False,,2200,3200
WN-2024-0037,Pusa Kanchan,PK,ZONE-A,Greenhouse A,2024-08-03,250,mature,healthy,64.7,80.0,-19.2,7.7,True,False,2200,3200
WN-2024-0038,Kashmiri Walnut,KW,ZONE-E,Nursery Beds E,2024-10-29,163,growing,at_risk,50.1,48.9,2.4,3.5,True,False,2500,3500
WN-2024-0039,Local Variety,LV,ZONE-E,Nursery Beds E,2024-12-17,114,growing,healthy,36.4,28.5,27.7,2.0,False,,1200,2000
WN-2024-0040,Franquette,FR,ZONE-F,Hardening Zone F,2024-05-26,319,ready_to_sell,healthy,95.8,89.3,7.3,7.4,False,,1800,2800
WN-2024-0041,Kashmiri Walnut,KW,ZONE-C,Open Field C,2025-03-25,16,seedling,healthy,5.5,4.8,14.6,0.5,False,,2500,3500
WN-2024-0042,Kashmiri Walnut,KW,ZONE-E,Nursery Beds E,2025-03-24,17,seedling,healthy,7.2,5.1,42.1,0.3,False,,2500,3500
WN-2024-0043,Chandler,CH,ZONE-D,Open Field D,2024-11-08,153,growing,healthy,61.8,53.5,15.5,3.7,True,True,2000,3000
WN-2024-0044,Kashmiri Walnut,KW,ZONE-D,Open Field D,2024-06-10,304,ready_to_sell,healthy,109.2,91.2,19.7,8.4,True,True,2500,3500
WN-2024-0045,Kashmiri Walnut,KW,ZONE-C,Open Field C,2024-07-29,255,mature,at_risk,63.5,76.5,-17.0,6.2,False,,2500,3500
WN-2024-0046,Franquette,FR,ZONE-E,Nursery Beds E,2024-05-13,332,ready_to_sell,healthy,101.5,93.0,9.2,7.8,False,,1800,2800
WN-2024-0047,Chandler,CH,ZONE-A,Greenhouse A,2025-01-30,70,young,critical,23.5,24.5,-3.9,2.0,False,,2000,3000
WN-2024-0048,Chandler,CH,ZONE-F,Hardening Zone F,2024-05-29,316,ready_to_sell,healthy,133.1,110.6,20.4,8.2,False,,2000,3000
WN-2024-0049,Local Variety,LV,ZONE-D,Open Field D,2025-03-08,33,young,healthy,9.9,8.2,20.4,0.6,False,,1200,2000
WN-2024-0050,Chandler,CH,ZONE-E,Nursery Beds E,2024-11-23,138,growing,at_risk,58.6,48.3,21.4,3.9,True,True,2000,3000
WN-2024-0051,Kashmiri Walnut,KW,ZONE-A,Greenhouse A,2024-07-14,270,ready_to_sell,healthy,72.8,81.0,-10.1,6.0,False,,2500,3500
WN-2024-0052,Chandler,CH,ZONE-C,Open Field C,2024-05-14,331,ready_to_sell,healthy,94.9,115.8,-18.1,8.9,False,,2000,3000
WN-2024-0053,Chandler,CH,ZONE-A,Greenhouse A,2025-01-22,78,young,healthy,26.5,27.3,-3.0,2.2,False,,2000,3000
WN-2024-0054,Chandler,CH,ZONE-B,Greenhouse B,2024-08-28,225,mature,healthy,90.7,78.8,15.2,6.1,True,False,2000,3000
WN-2024-0055,Pusa Kanchan,PK,ZONE-A,Greenhouse A,2024-12-16,115,growing,healthy,32.4,36.8,-11.9,3.1,False,,2200,3200
WN-2024-0056,Chandler,CH,ZONE-C,Open Field C,2025-02-08,61,young,healthy,20.8,21.3,-2.8,1.8,False,,2000,3000
WN-2024-0057,Franquette,FR,ZONE-B,Greenhouse B,2025-03-29,12,seedling,healthy,3.0,3.4,-10.1,0.3,False,,1800,2800
WN-2024-0058,Chandler,CH,ZONE-B,Greenhouse B,2024-09-02,220,mature,critical,85.0,77.0,10.5,6.2,True,True,2000,3000
WN-2024-0059,Pusa Kanchan,PK,ZONE-A,Greenhouse A,2024-08-21,232,mature,healthy,79.5,74.2,7.1,6.8,True,True,2200,3200
WN-2024-0060,Franquette,FR,ZONE-D,Open Field D,2025-03-02,39,young,critical,10.0,10.9,-8.8,0.6,False,,1800,2800
WN-2024-0061,Chandler,CH,ZONE-E,Nursery Beds E,2024-12-13,118,growing,healthy,45.4,41.3,9.9,2.8,False,,2000,3000
WN-2024-0062,Chandler,CH,ZONE-B,Greenhouse B,2024-09-01,221,mature,critical,81.4,77.3,5.2,5.6,True,False,2000,3000
WN-2024-0063,Pusa Kanchan,PK,ZONE-E,Nursery Beds E,2024-08-20,233,mature,healthy,64.3,74.6,-13.8,7.2,True,True,2200,3200
WN-2024-0064,Local Variety,LV,ZONE-F,Hardening Zone F,2024-06-29,285,ready_to_sell,healthy,66.3,71.2,-7.0,5.7,False,,1200,2000
WN-2024-0065,Franquette,FR,ZONE-D,Open Field D,2025-02-05,64,young,healthy,15.2,17.9,-15.3,1.4,False,,1800,2800
WN-2024-0066,Franquette,FR,ZONE-E,Nursery Beds E,2025-01-23,77,young,healthy,20.4,21.6,-5.4,1.4,False,,1800,2800
WN-2024-0067,Chandler,CH,ZONE-C,Open Field C,2024-06-21,293,ready_to_sell,healthy,106.8,102.5,4.1,6.2,True,False,2000,3000
WN-2024-0068,Local Variety,LV,ZONE-E,Nursery Beds E,2024-07-05,279,ready_to_sell,healthy,68.1,69.8,-2.4,6.4,False,,1200,2000
WN-2024-0069,Chandler,CH,ZONE-D,Open Field D,2024-09-27,195,mature,healthy,57.0,68.2,-16.5,5.4,True,True,2000,3000
WN-2024-0070,Chandler,CH,ZONE-A,Greenhouse A,2024-07-28,256,mature,healthy,109.1,89.6,21.8,7.5,False,,2000,3000
WN-2024-0071,Pusa Kanchan,PK,ZONE-C,Open Field C,2025-01-30,70,young,at_risk,27.5,22.4,22.8,1.6,False,,2200,3200
WN-2024-0072,Franquette,FR,ZONE-A,Greenhouse A,2025-02-07,62,young,healthy,19.0,17.4,9.3,1.4,False,,1800,2800
WN-2024-0073,Franquette,FR,ZONE-C,Open Field C,2024-04-26,349,ready_to_sell,healthy,82.1,97.7,-16.0,7.0,False,,1800,2800
WN-2024-0074,Franquette,FR,ZONE-E,Nursery Beds E,2024-07-28,256,mature,healthy,59.2,71.7,-17.5,6.5,True,False,1800,2800
WN-2024-0075,Kashmiri Walnut,KW,ZONE-F,Hardening Zone F,2024-10-29,163,growing,healthy,48.6,48.9,-0.7,4.3,True,True,2500,3500
WN-2024-0076,Kashmiri Walnut,KW,ZONE-F,Hardening Zone F,2024-07-14,270,ready_to_sell,healthy,98.3,81.0,21.3,6.3,False,,2500,3500
WN-2024-0077,Kashmiri Walnut,KW,ZONE-D,Open Field D,2024-08-05,248,mature,healthy,77.6,74.4,4.3,7.1,False,,2500,3500
WN-2024-0078,Chandler,CH,ZONE-B,Greenhouse B,2025-02-27,42,young,healthy,15.2,14.7,3.4,1.3,False,,2000,3000
WN-2024-0079,Chandler,CH,ZONE-D,Open Field D,2025-01-28,72,young,healthy,28.6,25.2,13.6,1.3,False,,2000,3000
WN-2024-0080,Local Variety,LV,ZONE-A,Greenhouse A,2024-07-11,273,ready_to_sell,healthy,50.4,68.2,-26.1,5.8,False,,1200,2000
WN-2024-0081,Chandler,CH,ZONE-B,Greenhouse B,2025-01-21,79,young,at_risk,26.4,27.6,-4.4,2.2,False,,2000,3000
WN-2024-0082,Kashmiri Walnut,KW,ZONE-A,Greenhouse A,2024-11-08,153,growing,healthy,47.4,45.9,3.3,3.4,True,True,2500,3500
WN-2024-0083,Chandler,CH,ZONE-D,Open Field D,2025-04-01,9,seedling,healthy,3.0,3.1,-6.2,0.3,False,,2000,3000
WN-2024-0084,Local Variety,LV,ZONE-D,Open Field D,2024-08-09,244,mature,healthy,65.8,61.0,7.9,5.5,True,True,1200,2000
WN-2024-0085,Franquette,FR,ZONE-E,Nursery Beds E,2024-06-15,299,ready_to_sell,healthy,94.4,83.7,12.8,6.1,False,,1800,2800
WN-2024-0086,Local Variety,LV,ZONE-B,Greenhouse B,2025-02-18,51,young,healthy,12.9,12.8,1.5,0.8,False,,1200,2000
WN-2024-0087,Chandler,CH,ZONE-C,Open Field C,2024-09-23,199,mature,healthy,49.7,69.6,-28.6,4.7,True,True,2000,3000
WN-2024-0088,Local Variety,LV,ZONE-E,Nursery Beds E,2024-11-27,134,growing,healthy,35.4,33.5,5.7,2.5,True,True,1200,2000
WN-2024-0089,Franquette,FR,ZONE-E,Nursery Beds E,2024-05-17,328,ready_to_sell,healthy,114.9,91.8,25.1,7.4,True,True,1800,2800
WN-2024-0090,Kashmiri Walnut,KW,ZONE-B,Greenhouse B,2024-09-29,193,mature,healthy,67.5,57.9,16.6,5.5,True,True,2500,3500
WN-2024-0091,Franquette,FR,ZONE-B,Greenhouse B,2024-11-19,142,growing,healthy,29.0,39.8,-27.0,3.3,True,False,1800,2800
WN-2024-0092,Chandler,CH,ZONE-A,Greenhouse A,2024-04-27,348,ready_to_sell,healthy,125.2,121.8,2.8,8.5,True,True,2000,3000
WN-2024-0093,Local Variety,LV,ZONE-E,Nursery Beds E,2024-12-01,130,growing,healthy,29.7,32.5,-8.5,2.5,True,False,1200,2000
WN-2024-0094,Chandler,CH,ZONE-D,Open Field D,2025-03-11,30,young,healthy,8.3,10.5,-20.6,0.7,False,,2000,3000
WN-2024-0095,Franquette,FR,ZONE-D,Open Field D,2024-07-02,282,ready_to_sell,healthy,86.1,79.0,9.1,6.6,True,True,1800,2800
WN-2024-0096,Chandler,CH,ZONE-C,Open Field C,2024-11-02,159,growing,healthy,49.2,55.6,-11.7,4.7,True,True,2000,3000
WN-2024-0097,Kashmiri Walnut,KW,ZONE-F,Hardening Zone F,2024-05-29,316,ready_to_sell,healthy,110.8,94.8,16.9,8.0,True,True,2500,3500
WN-2024-0098,Kashmiri Walnut,KW,ZONE-C,Open Field C,2024-10-04,188,mature,healthy,56.4,56.4,-0.1,4.9,True,True,2500,3500
WN-2024-0099,Kashmiri Walnut,KW,ZONE-B,Greenhouse B,2025-03-12,29,seedling,healthy,7.1,8.7,-18.1,0.9,False,,2500,3500
WN-2024-0100,Pusa Kanchan,PK,ZONE-F,Hardening Zone F,2024-09-15,207,mature,healthy,58.8,66.2,-11.3,5.0,True,True,2200,3200
WN-2024-0101,Franquette,FR,ZONE-F,Hardening Zone F,2025-02-13,56,young,healthy,16.9,15.7,7.9,1.2,False,,1800,2800
WN-2024-0102,Franquette,FR,ZONE-A,Greenhouse A,2024-11-29,132,growing,healthy,37.7,37.0,2.1,2.6,False,,1800,2800
WN-2024-0103,Local Variety,LV,ZONE-C,Open Field C,2024-08-23,230,mature,at_risk,61.3,57.5,6.6,4.3,True,True,1200,2000
WN-2024-0104,Local Variety,LV,ZONE-A,Greenhouse A,2025-03-01,40,young,healthy,8.5,10.0,-15.2,0.7,False,,1200,2000
WN-2024-0105,Pusa Kanchan,PK,ZONE-A,Greenhouse A,2024-10-07,185,mature,critical,70.6,59.2,19.2,3.9,True,True,2200,3200
WN-2024-0106,Kashmiri Walnut,KW,ZONE-D,Open Field D,2025-03-29,12,seedling,healthy,3.4,3.6,-6.6,0.3,False,,2500,3500
WN-2024-0107,Pusa Kanchan,PK,ZONE-F,Hardening Zone F,2024-12-15,116,growing,healthy,40.1,37.1,7.9,2.5,False,,2200,3200
WN-2024-0108,Kashmiri Walnut,KW,ZONE-C,Open Field C,2024-05-11,334,ready_to_sell,healthy,97.5,100.2,-2.7,6.2,True,True,2500,3500
WN-2024-0109,Franquette,FR,ZONE-B,Greenhouse B,2025-01-22,78,young,healthy,21.8,21.8,-0.1,1.8,False,,1800,2800
WN-2024-0110,Franquette,FR,ZONE-E,Nursery Beds E,2024-11-19,142,growing,healthy,37.4,39.8,-5.9,3.4,False,,1800,2800
WN-2024-0111,Local Variety,LV,ZONE-F,Hardening Zone F,2025-03-01,40,young,healthy,9.6,10.0,-3.7,0.7,False,,1200,2000
WN-2024-0112,Kashmiri Walnut,KW,ZONE-E,Nursery Beds E,2025-03-08,33,young,healthy,10.4,9.9,4.8,0.8,False,,2500,3500
WN-2024-0113,Local Variety,LV,ZONE-D,Open Field D,2024-11-22,139,growing,healthy,42.0,34.8,20.8,2.1,False,,1200,2000
WN-2024-0114,Kashmiri Walnut,KW,ZONE-F,Hardening Zone F,2024-09-08,214,mature,healthy,53.9,64.2,-16.0,5.2,True,True,2500,3500
WN-2024-0115,Local Variety,LV,ZONE-D,Open Field D,2025-01-04,96,growing,healthy,19.9,24.0,-17.2,1.8,False,,1200,2000
WN-2024-0116,Chandler,CH,ZONE-B,Greenhouse B,2024-10-22,170,growing,healthy,64.5,59.5,8.5,4.8,True,True,2000,3000
WN-2024-0117,Chandler,CH,ZONE-A,Greenhouse A,2024-07-15,269,mature,healthy,92.5,94.1,-1.7,8.7,True,False,2000,3000
WN-2024-0118,Kashmiri Walnut,KW,ZONE-D,Open Field D,2024-10-24,168,growing,at_risk,56.2,50.4,11.5,3.6,False,,2500,3500
WN-2024-0119,Kashmiri Walnut,KW,ZONE-A,Greenhouse A,2024-12-14,117,growing,healthy,36.8,35.1,5.0,2.9,False,,2500,3500
WN-2024-0120,Chandler,CH,ZONE-F,Hardening Zone F,2024-06-06,308,ready_to_sell,healthy,78.0,107.8,-27.6,8.2,True,False,2000,3000
WN-2024-0121,Pusa Kanchan,PK,ZONE-F,Hardening Zone F,2024-07-09,275,ready_to_sell,healthy,90.1,88.0,2.4,6.6,True,True,2200,3200
WN-2024-0122,Chandler,CH,ZONE-F,Hardening Zone F,2024-08-16,237,mature,healthy,80.6,82.9,-2.9,6.2,True,True,2000,3000
WN-2024-0123,Local Variety,LV,ZONE-D,Open Field D,2025-01-29,71,young,healthy,14.8,17.8,-16.8,1.4,False,,1200,2000
WN-2024-0124,Franquette,FR,ZONE-E,Nursery Beds E,2025-02-14,55,young,healthy,18.2,15.4,18.0,1.3,False,,1800,2800
WN-2024-0125,Local Variety,LV,ZONE-A,Greenhouse A,2025-01-24,76,young,healthy,21.8,19.0,14.9,1.6,False,,1200,2000
WN-2024-0126,Pusa Kanchan,PK,ZONE-D,Open Field D,2024-11-02,159,growing,critical,33.8,50.9,-33.5,2.8,False,,2200,3200
WN-2024-0127,Local Variety,LV,ZONE-D,Open Field D,2024-04-26,349,ready_to_sell,healthy,90.0,87.2,3.1,6.8,True,True,1200,2000
WN-2024-0128,Chandler,CH,ZONE-B,Greenhouse B,2025-03-06,35,young,healthy,11.9,12.2,-2.6,0.9,False,,2000,3000
WN-2024-0129,Kashmiri Walnut,KW,ZONE-E,Nursery Beds E,2024-05-15,330,ready_to_sell,healthy,107.1,99.0,8.2,8.1,True,True,2500,3500
WN-2024-0130,Chandler,CH,ZONE-D,Open Field D,2024-12-31,100,growing,healthy,26.9,35.0,-23.3,3.2,False,,2000,3000
WN-2024-0131,Local Variety,LV,ZONE-E,Nursery Beds E,2024-06-10,304,ready_to_sell,healthy,85.9,76.0,13.0,6.0,True,False,1200,2000
WN-2024-0132,Chandler,CH,ZONE-B,Greenhouse B,2024-06-30,284,ready_to_sell,healthy,87.6,99.4,-11.9,7.3,True,True,2000,3000
WN-2024-0133,Kashmiri Walnut,KW,ZONE-E,Nursery Beds E,2024-05-21,324,ready_to_sell,healthy,98.4,97.2,1.2,7.8,True,True,2500,3500
WN-2024-0134,Franquette,FR,ZONE-C,Open Field C,2024-08-09,244,mature,healthy,77.3,68.3,13.1,4.4,True,True,1800,2800
WN-2024-0135,Chandler,CH,ZONE-E,Nursery Beds E,2024-09-20,202,mature,healthy,66.5,70.7,-5.9,6.6,True,True,2000,3000
WN-2024-0136,Pusa Kanchan,PK,ZONE-B,Greenhouse B,2024-04-30,345,ready_to_sell,healthy,131.3,110.4,18.9,8.4,False,,2200,3200
WN-2024-0137,Pusa Kanchan,PK,ZONE-A,Greenhouse A,2024-10-28,164,growing,healthy,46.3,52.5,-11.8,3.4,True,True,2200,3200
WN-2024-0138,Kashmiri Walnut,KW,ZONE-C,Open Field C,2024-05-25,320,ready_to_sell,healthy,104.0,96.0,8.4,7.8,False,,2500,3500
WN-2024-0139,Kashmiri Walnut,KW,ZONE-A,Greenhouse A,2024-06-15,299,ready_to_sell,healthy,87.8,89.7,-2.1,6.9,False,,2500,3500
WN-2024-0140,Local Variety,LV,ZONE-B,Greenhouse B,2024-08-01,252,mature,healthy,63.5,63.0,0.8,4.6,True,True,1200,2000
WN-2024-0141,Local Variety,LV,ZONE-C,Open Field C,2025-02-01,68,young,healthy,14.4,17.0,-15.2,1.2,False,,1200,2000
WN-2024-0142,Kashmiri Walnut,KW,ZONE-B,Greenhouse B,2024-07-30,254,mature,healthy,83.9,76.2,10.0,5.8,True,True,2500,3500
WN-2024-0143,Franquette,FR,ZONE-F,Hardening Zone F,2025-03-13,28,seedling,healthy,7.7,7.8,-2.0,0.7,False,,1800,2800
WN-2024-0144,Kashmiri Walnut,KW,ZONE-A,Greenhouse A,2025-02-10,59,young,critical,15.7,17.7,-11.4,1.3,False,,2500,3500
WN-2024-0145,Kashmiri Walnut,KW,ZONE-B,Greenhouse B,2024-08-13,240,mature,healthy,64.5,72.0,-10.4,6.5,True,True,2500,3500
WN-2024-0146,Kashmiri Walnut,KW,ZONE-F,Hardening Zone F,2024-05-05,340,ready_to_sell,healthy,139.2,102.0,36.5,7.5,True,False,2500,3500
WN-2024-0147,Chandler,CH,ZONE-B,Greenhouse B,2024-12-12,119,growing,healthy,49.2,41.6,18.2,3.4,False,,2000,3000
WN-2024-0148,Chandler,CH,ZONE-C,Open Field C,2025-03-08,33,young,healthy,12.6,11.5,8.7,1.0,False,,2000,3000
WN-2024-0149,Chandler,CH,ZONE-D,Open Field D,2024-09-17,205,mature,healthy,75.7,71.8,5.6,5.8,True,True,2000,3000
WN-2024-0150,Kashmiri Walnut,KW,ZONE-B,Greenhouse B,2024-06-02,312,ready_to_sell,at_risk,96.9,93.6,3.5,8.2,True,True,2500,3500
WN-2024-0151,Chandler,CH,ZONE-F,Hardening Zone F,2025-02-10,59,young,healthy,23.5,20.6,13.6,1.5,False,,2000,3000
WN-2024-0152,Franquette,FR,ZONE-F,Hardening Zone F,2025-03-01,40,young,healthy,9.9,11.2,-12.0,0.8,False,,1800,2800
WN-2024-0153,Kashmiri Walnut,KW,ZONE-C,Open Field C,2024-08-30,223,mature,healthy,74.6,66.9,11.5,4.3,True,True,2500,3500
WN-2024-0154,Local Variety,LV,ZONE-C,Open Field C,2024-12-08,123,growing,healthy,27.7,30.8,-9.8,2.3,True,True,1200,2000
WN-2024-0155,Franquette,FR,ZONE-B,Greenhouse B,2024-11-26,135,growing,healthy,43.4,37.8,14.7,3.5,False,,1800,2800
WN-2024-0156,Local Variety,LV,ZONE-C,Open Field C,2024-11-01,160,growing,healthy,33.5,40.0,-16.3,3.2,False,,1200,2000
WN-2024-0157,Chandler,CH,ZONE-F,Hardening Zone F,2025-03-10,31,young,critical,11.0,10.8,1.6,1.0,False,,2000,3000
WN-2024-0158,Kashmiri Walnut,KW,ZONE-B,Greenhouse B,2024-12-15,116,growing,healthy,24.9,34.8,-28.3,3.4,False,,2500,3500
WN-2024-0159,Chandler,CH,ZONE-E,Nursery Beds E,2025-03-24,17,seedling,healthy,7.2,5.9,20.6,0.4,False,,2000,3000
WN-2024-0160,Kashmiri Walnut,KW,ZONE-F,Hardening Zone F,2024-04-30,345,ready_to_sell,healthy,114.2,103.5,10.3,8.9,True,True,2500,3500
WN-2024-0161,Pusa Kanchan,PK,ZONE-E,Nursery Beds E,2024-04-19,356,ready_to_sell,healthy,97.3,113.9,-14.6,9.3,True,False,2200,3200
WN-2024-0162,Kashmiri Walnut,KW,ZONE-A,Greenhouse A,2025-01-30,70,young,at_risk,27.8,21.0,32.4,1.9,False,,2500,3500
WN-2024-0163,Pusa Kanchan,PK,ZONE-D,Open Field D,2024-07-26,258,mature,critical,106.5,82.6,29.0,7.6,False,,2200,3200
WN-2024-0164,Kashmiri Walnut,KW,ZONE-A,Greenhouse A,2024-06-11,303,ready_to_sell,at_risk,84.9,90.9,-6.6,7.8,False,,2500,3500
WN-2024-0165,Pusa Kanchan,PK,ZONE-C,Open Field C,2024-10-28,164,growing,healthy,51.2,52.5,-2.4,4.4,True,False,2200,3200
WN-2024-0166,Chandler,CH,ZONE-E,Nursery Beds E,2024-04-11,364,ready_to_sell,healthy,142.0,127.4,11.5,12.2,False,,2000,3000
WN-2024-0167,Kashmiri Walnut,KW,ZONE-C,Open Field C,2024-05-18,327,ready_to_sell,healthy,104.5,98.1,6.5,6.8,False,,2500,3500
WN-2024-0168,Kashmiri Walnut,KW,ZONE-C,Open Field C,2025-02-20,49,young,healthy,18.8,14.7,28.1,1.3,False,,2500,3500
WN-2024-0169,Chandler,CH,ZONE-E,Nursery Beds E,2024-11-29,132,growing,healthy,44.2,46.2,-4.3,3.6,True,True,2000,3000
WN-2024-0170,Chandler,CH,ZONE-B,Greenhouse B,2025-03-27,14,seedling,healthy,4.8,4.9,-2.6,0.4,False,,2000,3000
WN-2024-0171,Local Variety,LV,ZONE-D,Open Field D,2025-01-12,88,young,healthy,17.7,22.0,-19.5,1.6,False,,1200,2000
WN-2024-0172,Chandler,CH,ZONE-C,Open Field C,2025-02-27,42,young,healthy,15.3,14.7,3.9,1.2,False,,2000,3000
WN-2024-0173,Chandler,CH,ZONE-B,Greenhouse B,2024-10-19,173,growing,at_risk,69.8,60.5,15.3,4.7,True,True,2000,3000
WN-2024-0174,Chandler,CH,ZONE-C,Open Field C,2024-04-23,352,ready_to_sell,healthy,119.3,123.2,-3.1,10.9,True,True,2000,3000
WN-2024-0175,Chandler,CH,ZONE-F,Hardening Zone F,2025-03-30,11,seedling,healthy,4.2,3.8,9.6,0.3,False,,2000,3000
WN-2024-0176,Kashmiri Walnut,KW,ZONE-A,Greenhouse A,2024-11-22,139,growing,healthy,43.6,41.7,4.5,3.4,False,,2500,3500
WN-2024-0177,Kashmiri Walnut,KW,ZONE-C,Open Field C,2024-12-16,115,growing,healthy,32.0,34.5,-7.4,2.7,False,,2500,3500
WN-2024-0178,Kashmiri Walnut,KW,ZONE-C,Open Field C,2024-08-27,226,mature,healthy,64.9,67.8,-4.3,5.5,True,True,2500,3500
WN-2024-0179,Chandler,CH,ZONE-B,Greenhouse B,2025-02-27,42,young,healthy,15.8,14.7,7.6,1.2,False,,2000,3000
